PARTICIPANT_FLOW_ID|NCT_ID|PERIOD_TITLE|RECRUITMENT_DETAILS|PRE_ASSIGNMENT_DETAILS
10852|NCT00817843|Washout Period (6 Weeks)|Between and patients were screened of which  subjects were randomized in the following centers UMC Utrecht, Utrecht, the Netherlands AMC, Amsterdam, the Netherlands Vascular Research Center, Hoorn, the Netherlands Tweesteden Ziekenhuis, Waalwijk, the Netherlands Hospital Arnau de Vilanova, Lleida, Spain|Prior to randomization subjects were given a 2 week placebo controled run-in phase to test for adequate compliance.
10853|NCT00817843|Second Period (6 Weeks)|Between and patients were screened of which  subjects were randomized in the following centers UMC Utrecht, Utrecht, the Netherlands AMC, Amsterdam, the Netherlands Vascular Research Center, Hoorn, the Netherlands Tweesteden Ziekenhuis, Waalwijk, the Netherlands Hospital Arnau de Vilanova, Lleida, Spain|Prior to randomization subjects were given a 2 week placebo controled run-in phase to test for adequate compliance.
10854|NCT00817999|Grapefruit Juice||
10855|NCT00817999|No Grapefruit Juice||
10856|NCT00818116|Overall Study|34 eligible patients were enrolled into the study|Open-label, single arm, non-randomized
10857|NCT00818168|Overall Study|Participants were those with Ankylosing spondylitis (AS) starting treatment with Remicade at 26 sites in Germany from Jul 2003 through Dec 2010|
10858|NCT00818207|Overall Study||
10859|NCT00818246|Overall Study||
10860|NCT00818272|Overall Study||
10861|NCT00818324|Overall Study||
10862|NCT00818337|Overall Study||
10924|NCT00835354|Washout of 7 Days||
10925|NCT00835354|Second Intervention||
10926|NCT00835367|First Intervention||
10927|NCT00835367|Washout||
10928|NCT00835367|Second Intervention||
10929|NCT00835380|Overall Study||114 subjects were enrolled for vaccination screening. Subject eligibility was reviewed according to the inclusion/exclusion criteria, and blood samples were collected for HAV (hepatitis A virus) antibody and ALT (alanine aminotransferase) testing. Finally 80 HAV-susceptible subjects with normal ALT were administered vaccines at the Day 1
8436|NCT00673855|First Intervention|20 Dry Eye Subjects|Randomized, double-masked, crossover
8437|NCT00673855|Second Intervention|20 Dry Eye Subjects|Randomized, double-masked, crossover
8438|NCT00673881|Overall Study||
8439|NCT00673933|Overall Study||Two areas on the back per patient was treated, one area with Visonac and one with vehicle
8440|NCT00673959|Overall Study|20 Dry Eye Subjects|Randomized, double-masked, crossover
8441|NCT00695903|Had Test of Cure (TOC) Assessment||
8442|NCT00695955|Cohort 1|Participants enrolled at 39 investigative sites in Chile, Mexico and the United States from 22 June 2007 to 30 April 2010.|Participants with essential hypertension were enrolled in a once-daily (QD) treatment group.
8443|NCT00695955|Cohort 2|Participants enrolled at 39 investigative sites in Chile, Mexico and the United States from 22 June 2007 to 30 April 2010.|Participants with essential hypertension were enrolled in a once-daily (QD) treatment group.
8444|NCT00696241|Overall Study|Participants enrolled at 147 investigative sites in Argentina, Mexico, Peru and the United States from 25 June 2007 to 08 October 2008.|Participants with essential hypertension were enrolled in one of five, once-daily (QD) treatment groups.
8445|NCT00701727|First Treatment Period|Participants recruited at a research clinic, Chicago, IL, from June 2008 to October 2008|61 subjects screened, 30 subjects excluded(8 failed inclusion criteria, 9 failed exclusion criteria, 3 had unsuitable veins, 5 failed a drug screen, 1 was lost-to-follow-up, 4 were excluded when enrollment was complete), 31 subjects randomized.
8446|NCT00701727|Second Treatment Period|Participants recruited at a research clinic, Chicago, IL, from June 2008 to October 2008|61 subjects screened, 30 subjects excluded(8 failed inclusion criteria, 9 failed exclusion criteria, 3 had unsuitable veins, 5 failed a drug screen, 1 was lost-to-follow-up, 4 were excluded when enrollment was complete), 31 subjects randomized.
8155|NCT00719732|Overall Study|Subjects 18 – 70 years of age, either sex and any race.  Diagnosis of cataracts in one or both eyes.|Subject’s eligibility was determined at the preoperative visit.  All subjects met inclusion/exclusion criteria.
8156|NCT00719810|Overall Study|This study targeted participants with complicated skin and skin structure infections (cSSSI), i.e. infections involving subcutaneous tissues or requiring surgical intervention.  Patients could have one of three infection types: wound infection, abscess, or cellulitis.|
8157|NCT00719862|Overall Study|First observation: August 20, 2007 Last observation: November 14, 2007|Subjects participated in a 7 day screening period to Identify appropriate subjects based on symptom scores.
8158|NCT00719901|Overall Study|Participants were recruited from 5 medical clinics in the United States between February 2008 and January 2011.|This was a phase I/II trial. A total of 11 participants were accrued, all to the phase I portion. This trial was terminated due to slow accrual and the drug supply of Obatoclax during the phase I; therefore, the phase II portion will never open. No results from the phase II portion are available.
8520|NCT00695097|Overall Study|Consecutive patients with biopsy-proven ACR were recruited in the kidney transplant Clinic at UCSF and were randomized to either the Rituximab or the control group.|18 patients were consented to participate. 3 patients failed eligibility screening prior to treatment assignment.  15 were eligible, 10 were in the Rituximab group and 5 in the no-Rituximab group.
8521|NCT00695136|Overall Study||Children were screened with polysomnography and 8 of 16 subjects were found to have low REM sleep% and were eligible to continue with the study. One of the 8 elected not to participate in the dose-finding drug administration.
8522|NCT00695188|Overall Study|Patients were included at the outpatient unit of the Kaiser-Franz-Josef-Hospital, Department for Rheumatology, if they fulfilled the inclusion criteria|
8523|NCT00695292|Overall Study||
8524|NCT00695396|Overall Study||
8525|NCT00695435|Overall Study|Randomized, single center (Alcon Eye Clinic),|Treatment randomization schedules were generated and maintained by the Alcon SAS Programming group. Only when the data were verified and validated and the database locked were the appropriate personnel unmasked.
8526|NCT00695669|Overall Study||
8527|NCT00734929|Overall Study|The study took place at Duke University Medical Center from September 2007 to June 2009|
8528|NCT00734994|Overall Study|Recruitment Period: 09/2008-09/2010 Location: Urology and Radiation Oncology Clinics|
8529|NCT00735007|Overall Study|First Patient First Visit : 30 July 2008 Last Patient Last Visit: 27 January 2009
15 specialist neurology centres in 6 countries: Canada (3 sites), Germany(4 sites) , Italy (2 sites) , Spain(3 sites),  Sweden (1 sites), USA(2 sites)|
8530|NCT00735072|Overall Study|Subjects were recruited from the HIV clinics at San Francisco General Hospital, Stanford University, Case Western Reserve University, and Rush University/CORE Center between September, 2008, and December, 2009.|All 45 enrolled patients were assigned to study intervention.  We over-enrolled by 3 subjects given 2 premature treatment discontinuations and one subject with unavailable baseline peripheral blood mononuclear cell (PBMC) samples available for analysis.
8531|NCT00735306|Overall Study||
8532|NCT00735371|Overall Study||
8533|NCT00735436|Overall Study||
8534|NCT00735449|Overall Study||
8535|NCT00735462|Overall Study||
8536|NCT00735475|Overall Study||
7842|NCT00707057|Overall Study|Date First Subject Enrolled: 24 June 2008 Date Last Subject Enrolled: 11 October 2008 All subjects were to receive 4 doses of study drug or placebo at 12-hour intervals. Of the 12 subjects who prematurely discontinued study drug, 6 subjects received 1 dose of study drug, 2 subjects received 2 doses, and 4 subjects received 3 doses.|
7843|NCT00725049|Overall Study|Patients enrolled in the study according to inclusion/ exclusion criteria as described in the protocol.  Patient enrollment began February 2009 and ended February 2011.  All study patients were enrolled at 3 European Universities (dental clinics).|
7844|NCT00725101|Overall Study||
7845|NCT00725153|Period One, 10 Hours of Wear|55 Subjects currently wearing hydrogel or silicone hydrogel lenses were recruited at 3 US and 1 United Kingdom study sites.|Subjects randomized by lens order to wear PureVision and Acuvue 2 lenses for 10 hours each.
7846|NCT00668317|Overall Study|Patients recruited at the cough clinic at castleHill Hospital|Patients had to have a positive methacholine challenge, and reflux associated chronic cough
7847|NCT00668382|Overall Study|Patients recruited from medical and surgical oncology clinics with currently untreatable tumors from march 2007 through June 2011|No assignment to separate arms, Patients had to be off any active treatment for their advanced tumors for at least 2 weeks before entry onto study and a month after. Two subjects withdrew after screening and consent because of stroke (1) and insurance refusal(1).  Two patients dropped out in the first month due to treatment needs.
7848|NCT00668395|Overall Study|Healthy subjects from self -referrals, campus fliers, Indiana University’s Clinical Trials Webpage, community bulletin boards and newspaper were enrolled. All subjects were studied at the Indiana Clinical Research Center. Recruitment was completed within 3 years (8/20/07 to 4/15/10).|The study was initially designed to enroll subjects with prespecified CYP2B6 genotype (*1/*1, *1/*6, and *6/*6; n=20 each), but it was later modified in which subjects were enrolled without pregenotype information and genotype was performed post-hoc.
7849|NCT00668525|Overall Study|Recruitment period was from 4/30/08 through 12/19/08 with last patient last visit on 2/24/09 at 45 centers in the US.|A one-week single-blind placebo period was completed prior to randomization. Patients were then randomized in a 3:3:2 ratio to either escitalopram low dose, escitalopram high dose or placebo.
7539|NCT00688844|Overall Study|Recruitment lasted 1 year from October 2008 - October 2009. Recruitment occurred at the Emory University Genetics Clinic, Department of Human Genetics in Decatur, GA.|There were no exclusions of subjects once enrolled.
7540|NCT00688870|Infant Series|Subjects were recruited in Taiwan from June 2008 to Nov 2009|A total of 169 subjects were screened, 168 subjects were randomly assigned in a 1:1 ratio to either the 13vPnC group (n=84) or the 7vPnC group (n=84).
7541|NCT00688870|After Infant Series|Subjects were recruited in Taiwan from June 2008 to Nov 2009|A total of 169 subjects were screened, 168 subjects were randomly assigned in a 1:1 ratio to either the 13vPnC group (n=84) or the 7vPnC group (n=84).
7542|NCT00688870|Toddler Dose|Subjects were recruited in Taiwan from June 2008 to Nov 2009|A total of 169 subjects were screened, 168 subjects were randomly assigned in a 1:1 ratio to either the 13vPnC group (n=84) or the 7vPnC group (n=84).
7543|NCT00689052|Overall Study||
10956|NCT00914186|Overall Study|Recruitment period for the study started 03Jun09. It was the responsibility of the PI for advertisement and recruitment of the study.|There was a seven day run-in-period in which subjects self-applied the Vehicle control twice daily.
10957|NCT00914810|Overall Study|Participants from the Minneapolis Veterans Affairs Health Care System were recruited as a convenience sample between January 2009 and October 2011 from outpatient pulmonary clinics and an institutional review board-approved database of patients with COPD.|
10958|NCT00914862|Overall Study|Participants took part in the study at one investigative site in the United States from 02 November 2009 to 03 April 2011.|Participants were enrolled into one of five treatment groups by age and assigned to either 4 mg or 8 mg ramelteon.
10959|NCT00914966|Step 1: 1500 Units||
10960|NCT00914966|Step 2: 2000 Units||
10961|NCT00914966|Step 3: 2500 Units||
10962|NCT00915278|Overall Study||
10963|NCT00915356|Overall Study|The 1st patient was enrolled in the study on 25 May 2009, and the last patient completed the study on 4 December 2009. In total, 228 patients were enrolled (at 33 centres) and of the 171 patients randomised 170 patients completed the study. There was no discontinuation of the Investigational Product (IP) due to an Adverse Event (AE) in the study.|An enrolment visit (Visit 1) was done within 14 days before scheduled randomisation. Patients who fulfilled criteria and signed the informed consent form, could then be randomised at visit 2. The patients were to have ongoing Atrial Fibrillation with a clinical indication for cardioversion of Atrial Fibrillation (AF).
10964|NCT00915473|Screening|Subjects were recruited by referral from multiple neurologists in the division of Headache at Mayo Clinic in Arizona from June 2009 to October 2012.|
10965|NCT00915473|Injection|Subjects were recruited by referral from multiple neurologists in the division of Headache at Mayo Clinic in Arizona from June 2009 to October 2012.|
10966|NCT00915473|4-week Follow Up|Subjects were recruited by referral from multiple neurologists in the division of Headache at Mayo Clinic in Arizona from June 2009 to October 2012.|
10967|NCT00915499|Overall Study||
10968|NCT00892957|Between Postoperative Day 1 and Day 14|Patients were enrolled at 24 clinical sites in the United States, beginning July 2009 and completing in October 2010|176 participants were enrolled. 32 were screen failures. 1 was withdrawn by investigator (study coordinator not available to collect data), 2 participants requested withdrawal, 1 participant died prior to screening and prior to receiving study treatment. Therefore, 140 of the 176 enrolled were randomized.
10984|NCT00835536|First Intervention||
10985|NCT00835536|Washout of 5 Weeks||
10986|NCT00835536|Second Intervention||
8159|NCT00719914|Overall Study||
8160|NCT00719953|Overall Study|Participants were recruited through advertisements in senior citizens' homes, hospitals, and newspapers.|
8161|NCT00655486|Overall Study|The study started in April 2008 with enrollment occuring in the United States only. The study completed June 2010|
8162|NCT00655551|All Periods Combined||
8163|NCT00655551|Period 1 (up to 7 Days)||
8164|NCT00655551|Period 2 (up to 7 Days)||
8165|NCT00655551|Period 3 (up to 7 Days)||
8166|NCT00655551|Period 4 (up to 7 Days)||
8167|NCT00655564|Overall Study|Fifteen subjects with moderate to severe chronic plaque type psoriasis were recruited from the Wake Forest University Health Sciences Dermatology Clinic|
8168|NCT00655629|Overall Study|Subjects recruited to 35 investigational centers in the USA (20), Canada (4), Mexico (5), and Australia (6). First patient first visit on 28 Apr 2008, last patient last visit on 13 Feb 2009.|473 subjects screened (<65 years: n=230; >=65 years: n=243), 339 randomized (Vardenafil 10 mg ODT=172, placebo=167). The main efficacy analysis set was the ITT (Intent to Treat) population (randomized treated sub. with baseline and post-baseline in any of the efficacy variables and safety assessment); Vardenafil 10 mg ODT=169, placebo=162
8169|NCT00682643|Overall Study||
8170|NCT00682734|Emergency Department Portion||
8171|NCT00682734|48 Hour Follow-up||
8172|NCT00682786|Overall Study|Enrollment to the study opened on 10/07/2002 and the study closed to enrollment on 10/23/2008.|
8173|NCT00682851|Overall Study||
8293|NCT00678249|Overall Study||
8294|NCT00678288|Overall Study|This study was conducted from 16 Apr 2008 to 26 Jun 2009 at 31 centers in 7 countries: France (11), Italy (6), Spain (5), Poland (4), Ireland (2), United Kingdom (2), and Austria (1). The planned enrollment was 120 subjects in the 2 treatment groups (60 subjects per group). The study was stopped early because of slow accrual.|A total of 24 subjects were screened; 16 were enrolled and randomized; 10 (63%) to sorafenib alone and 6 (37%) to sorafenib + interferon. All 16 randomized subjects received at least 1 dose of study drug and were included in the safety analysis population.
8295|NCT00678392|Overall Study||
8537|NCT00754390|Ca/Phytate Test Meal 4 (Randomized)|Women were recruited by the United States Department of Agriculture (USDA) Grand Forks Human Nutrition Research Center to participate in an out-patient feeding study in Grand Forks, North Dakota|205 participants applied, 157 were eligible, 27 accepted invitation to attend an information meeting, 10 started study, 7 of the alternates joined study as original participants withdrew or were discharged.
8231|NCT00656201|Overall Study|All patients starting an IVF cycle will receive a letter from their physician and Dr. Yanushpolsky. We will include a copy of the consent form. This letter will briefly describe the study and will have an opt out paragraph. Patients fulfilling inc/exc criteria will be approached on the day of their oocyte retrieval by a study coordinator.|The participant may not qualify for enrollment if there were no eggs fertilized, or no embryos transfered, or all embryos frozen.
8232|NCT00656370|Overall Study|The first subject entered screening on 19 DEC 2007 and the last subject entered screening on 23 JAN 2008. A total of 25 subjects were assessed for eligibility and signed an Informed Consent Form.|Seven subjects were excluded during screening: 6 did not meet inclusion criteria and 1 withdrew consent. An additional 3 subjects were screened as alternates, but were not enrolled. 15 subjects were randomized and completed stage 1.
8233|NCT00677534|After Paricalcitol Restart (Weeks 13-14)||
8234|NCT00677690|Overall Study|2007-2008 - Rehabilitative Pulmonary ward|167 COPD patients were admitted.52 out of 167 did not meet the inclusion criteria.19 out of the remaining 115 patients refused to participate.13 out of 96 subjects subsequently dropped out due to acute exacerbation.Our definitive sample was therefore of 83 subjects
8235|NCT00677807|Overall Study|This is an extension study to core study stage 2: CQAB149B2335S (NCT00463567).|
8236|NCT00677820|Overall Study|A total of 300 subjects were enrolled and randomized in the study between 09Jun2008 and 10Jun2008 at 3 sites in the USA.|
8237|NCT00703781|Overall Study|Study start date was 06/10/2008 and last participant to exit the study was 09/02/2008. This study was conducted in 18 study centers.|A total of 126 subjects were randomized to investigational product and were included in the Intent-to-Treat (ITT) population; 63 were randomized to the bromfenac ophthalmic solution treatment group and 63 were randomized to the placebo treatment group.
8238|NCT00703846|Overall Study||
8239|NCT00703911|Overall Study||
8240|NCT00703937|Overall Study|Hospitals and medical clinics|5 subjects randomized into the trial were discontinued prior to dosing.
8241|NCT00703963|Overall Study|Subjects were recruited from the Mayo Clinic, Rochester, Minnesota from June 2007 to January 2009.|
8242|NCT00704028|Overall Study|Hospitals and medical clinics|
8243|NCT00704132|Overall Study||57 participants were enrolled in this study. Of these, 7 participants with normal fasting glucose (NFG) only underwent pre-randomization experiments and did not receive an allocation number, were not randomized to one of the treatment groups, and did not receive double-blind study medication.
7544|NCT00689104|Overall Study||After screening, 2336 patients took placebo run-in study drug in a 2-week, single-blind, placebo run-in period. On completion of the run-in period, 1987 eligible patients were randomly assigned to receive placebo, mirabegron 50 mg, mirabegron 100 mg or tolterodine 4 mg for 12 weeks.
7545|NCT00689117|Overall Study||
7546|NCT00708942|Overall Study|All subjects recruited from medical clinics/hospitals. Start of recruitment arms 1-3: Jan 2009 End of recruitment arms 1-3: Feb 2010 Start of recruitment arms 4-5: Nov 2010 End of recruitment arms 4-5: Jul 2011|Recruitment to part 1, including arms 1-3, completed before initiation of part 2 (arms 4-5). Arms 4 and 5 was a protocol amendment.
7547|NCT00709059|Overall Study||
7548|NCT00709098|Double-blind Period|The double-blind period of the study was conducted at 20 centers in the US and Germany, and the following open-label period of the study was conducted at 17 centers in the US only. First patient, first visit was 4 September 2008 and the last patient, last visit was 17 June 2010.|Out of the 63 patients who completed the core study of AC-063A301, 49 gave informed consent and enrolled into this extension study.
7549|NCT00709098|Open-label Period|The double-blind period of the study was conducted at 20 centers in the US and Germany, and the following open-label period of the study was conducted at 17 centers in the US only. First patient, first visit was 4 September 2008 and the last patient, last visit was 17 June 2010.|Out of the 63 patients who completed the core study of AC-063A301, 49 gave informed consent and enrolled into this extension study.
7550|NCT00654368|Overall Study|First patient was enrolled 28 June 2008 and last patient was enrolled 07 November 2010.|A total of 258 participants were enrolled, of whom 205 were randomized after 6 months and 53 were not randomized.
7551|NCT00654381|1st Stage|Total 6 groups (including sub-groups in placebo and voglibose groups)|Placebo group has 2 sub-groups, placebo-linagliptin 5mg (from 2nd stage) and placebo-linagliptin 10mg (from 2nd stage).
Both Linagliptin 5 mg and 10 mg groups don't have sub-group. Voglibose group has 2 sub-groups, voglibose-linagliptin 5mg (from 3rd stage) and voglibose-linagliptin 10mg (from 3rd stage).
7552|NCT00654381|2nd Stage|Total 6 groups (including sub-groups in placebo and voglibose groups)|Placebo group has 2 sub-groups, placebo-linagliptin 5mg (from 2nd stage) and placebo-linagliptin 10mg (from 2nd stage).
Both Linagliptin 5 mg and 10 mg groups don't have sub-group. Voglibose group has 2 sub-groups, voglibose-linagliptin 5mg (from 3rd stage) and voglibose-linagliptin 10mg (from 3rd stage).
7652|NCT00724373|Overall Study||
7653|NCT00724451|Overall Study||
7654|NCT00724464|Overall Study||401 participants were screened for eligibility. 332 participants were enrolled in the study.
7655|NCT00724477|Overall Study||
7656|NCT00724568|Overall Study||
7657|NCT00724698|Overall Study||
10863|NCT00818389|Overall Study|Between January 2009 to June 2009, 97 patients were screened and 84 subjects were randomized at 21 clinical sites; 11 in the United States and 10 in Canada. All sites were members of the Northeast ALS Consortium (NEALS) and/or the Canadian ALS Consortium (CALS).|All patients were required to be on a stable dose of riluzole for at least 30 days prior to screening. 13 subjects failed screening: 3 due to low lung function test results, 3 due to prohibited medications,3 due to study closure, 2 due to abnormal lab test results and 1 due to death unrelated to the study.
10864|NCT00818454|Treatment Period 1|Crossover Part of the Study (Treatment Period 1)
Crossover Part of the Study (Washout Period of 1 Week)
Crossover Part of the Study (Treatment Period 2)
Parallel Part of the Study Following Second Randomization (Treatment Period 3)|
10865|NCT00934180|First Intervention||
10866|NCT00934180|Second Intervention||
10867|NCT00934362|Overall Study||two week washout period between treatment phases of this cross-over study
10868|NCT00934375|Overall Study||
10869|NCT00934544|Overall Study||This is an open-label, 2:1 Randomized study comparing the efficacy and safety of INC424/INCB018424 tablets versus Investigator-selected BAT.
Not Completed in the Overall study refers to participants who were discontinued from the randomized treatment phase for the both the INC424/INCB018424 and BAT groups.
10870|NCT00934596|Overall Study|Patients requiring elective aortic valve or aortic root surgery on the waiting list of the clinic were recruited in the study during year 2009.|All 20 consecutive patients recruited in the study fullfilled the inclusion criteria. No patient was excluded.
10871|NCT00934622|Overall Study|Subjects >21 years of age, either sex, and any race.  Diagnosis of cataracts in both eyes.  27-Jun-2007 to 20-May-2009|Subject’s eligibility was determined at the preoperative visit.  All subjects met inclusion/exclusion criteria.
10872|NCT00934635|Overall Study||
10873|NCT00934648|Overall Study||
10874|NCT00934791|Overall Study|Two participants were enrolled in the study in Rochester, Minnesota. One participant withdrew before doing any part of the study; he was not randomized to a group.|
10875|NCT00934843|Overall Study|All inpatient neonates (≤ 30 days of age), scheduled to undergo cardiac surgery involving cardiopulmonary bypass from the time period of July 2007 through July 2009 were eligible for this study.|
10876|NCT00934921|First Intervention||
10877|NCT00934921|Second Intervention||
10878|NCT00934947|Overall Study||
10879|NCT00935064|Overall Study||
8296|NCT00678418|Part A (Double Blind)||
8297|NCT00678418|Part B (Open Label)||
8298|NCT00678470|Overall Study|Patients were recruited from our medical clinic as well as through flyers posted at other University of California at San Francisco sites.|Patients were required to have a 2 week washout from topicals and one month washout from any systemic agents.
8299|NCT00678535|Overall Study|First/last participant (informed consent): June 2008/December 2010. Clinical data cut-off: 31 March 2012 Study completion 17 February 2013.|Enrolled: 1,191 screened for eligibility; 287 excluded (mainly non-fulfillment of inclusion or exclusion criteria). 904 participants randomized.
8300|NCT00678587|Overall Study||
8301|NCT00678639|Overall Study|Participants were recruited from the emergency department January 2008 - March 2009.|Once consented, no participants were excluded from the trial prior to group assignment.
8302|NCT00678795|Overall Study||
8303|NCT00678834|Overall Study||
8304|NCT00679081|Overall Study||
8305|NCT00679211|Overall Study||Between 13 August 2008 and 2 April 2009, 110 patients from 44 study sites in the United States were enrolled and treated in the study.
8306|NCT00679263|Visit 3/Dose 2|Subjects diagnosed with moderate to severe asthma in stable status were recruited at clinic|Subjects were screened for eligibility and must have demonstrated an improvement in forced expiratory volume in 1 second (FEV1) of at least 12% and 200 cc at the Screen Visit after bronchodilator treatment compared to pre-bronchodilator use. Continued eligibility was determined for each subject prior to administering each dose.
8307|NCT00679263|Visit 2/Dose 1|Subjects diagnosed with moderate to severe asthma in stable status were recruited at clinic|Subjects were screened for eligibility and must have demonstrated an improvement in forced expiratory volume in 1 second (FEV1) of at least 12% and 200 cc at the Screen Visit after bronchodilator treatment compared to pre-bronchodilator use. Continued eligibility was determined for each subject prior to administering each dose.
8308|NCT00705081|Overall Study||
8309|NCT00705107|Overall Study||
8447|NCT00720057|Overall Study||The Screening Period occurred up to 28 days prior to the day of dental surgery.  A total of 447 subjects were screened, of which 135 were excluded (72 did not meet inclusion criteria, 19 refused to participate, 44 other reasons); 312 subjects were randomized and included in the intent-to-treat (ITT) population for efficacy and safety analysis.
8448|NCT00720083|Overall Study||34 subjects were registered, after which 2 did not continue to randomization due to physician preference.
8449|NCT00720096|Overall Study||
8244|NCT00704171|Overall Study|Between January 28, 2008 and October 21, 2008, a total of 161 subjects were consented and screened for potential study participation at 8 institutions (hospitals).  Of these subjects, 121 were randomized.|Subjects were evaluated for pre-operative and intra-operative eligibility criteria. Randomization occurred intra-operatively.
8245|NCT00704340|Overall Study|First subject was enrolled on September 12, 2005, last subject visit was May 20, 2009.|Randomized study, no washout or run-in period.
8246|NCT00704353|Overall Study|Hospitals and medical clinics|
8374|NCT00701129|Overall Study|The study was conducted at 2 centers in the United States of America between October 01, 2009 and March 27, 2013.|
8375|NCT00701311|Overall Study|Recruitment took place over approximately one year from the offices of private urologists.|A total of 21 male subjects meeting inclusion criteria were recruited.  Of these, two failed screening and two were enrolled but did not start drug.  Therefore 17 subjects started treatment drug.
8376|NCT00701389|Period 1||
8377|NCT00701389|Period 2||
8378|NCT00701389|Period 3||
8379|NCT00701389|Period 4||
8380|NCT00701441|Overall Study||
8381|NCT00701662|Overall Study||
8382|NCT00723073|Overall Study||
8383|NCT00723125|Overall Study||
8384|NCT00723190|Overall Study|This was a multicenter study conducted at 27 study centers in the United States. First subject visit was on January 09, 2008 and last subject completed the study on March 08, 2010|Candidates enrolled in this study (CLON-303) were subjects who completed studies using KAPVAY (CLONICEL) as add-on therapy with stimulants (CLON-302) and as monotherapy (CLON-301). There was no screening period for this study. The safety follow-up visit from these two prior studies (CLON-301 and CLON-302) was the baseline visit for current study
8385|NCT00723203|Overall Study||
8386|NCT00723450|Open-Label Phase|A total of 301 participants were enrolled in the study, of which 298 subjects took at least one dose of lamotrigine (LTG).  One hundred and seventy three participants met stabilization criteria and entered the Randomized Phase.|The study consisted of a 2-week Screening Phase, an 18-week Open-Label Phase, a 36-week Double-Blind Randomized Phase and a Taper and Follow-up Phase (up to 4 weeks depending on the dose the participant was taking at the last Open-Label or Randomized Phase visit), which was either open-label or double-blind depending on the phase of the study.
7658|NCT00724711|Overall Study|Participants were enrolled at a total of 76 study sites; 70 in the US, 3 in Canada, and 3 in Puerto Rico. The first participant was screened on 15 August 2008, and the last participant was randomized on 27 April 2010. Last participant observation (LPO) date was 19 April 2011|A total of 393 subjects were screened for entry into this study, and 312 subjects were randomized (156 to each treatment group). One participant randomized to the TVD+PI/r group was never treated.
7659|NCT00724815|Overall Study|The study was initiated January 2009 and completed July 2009. Patients were enrolled from 38 investigative sites across the United States.|
7660|NCT00724854|Overall Study||
7661|NCT00724893|Overall Study||
7662|NCT00662831|Overall Study||
7663|NCT00662909|Overall Study||After screening, 2149 patients took placebo run-in study drug in a 2-week, single-blind, placebo run-in period. On completion of the run-in period, 1329 eligible patients were randomly assigned to receive mirabegron 50 mg, mirabegron 100 mg or a matching placebo for 12 weeks.
7664|NCT00663026|Overall Study||
7665|NCT00663052|Overall Study||
7666|NCT00663117|Overall Study|This prospective, double blind, randomized placebo-controlled trial, undertaken between September 2006 and September 2009 at the Pennsylvania State University College of Medicine.|None
7667|NCT00663169|Overall Study||
7668|NCT00663403|Overall Study||
7669|NCT00663702|Days 1 to 85|Participants were enrolled at 3 locations and 32 sites worldwide: United States (20 sites), Canada (6 sites), and Mexico (6 sites).|A total of 126 participants were enrolled, and 3 discontinued prior to study start due to failure to continue to meet study eligibility criteria.
7670|NCT00684307|Overall Study|The study population included male and female participants >18 years of age with chronic non-valvular Atrial Fibrillation. The participants were recruited during the time period from 20 February 2007 to 5 June 2008 at medical clinics in Europe.|Participants were enrolled in the study up to two weeks before randomisation and treatment assignment. Participants that were already treated with Vitamin K Antagonists (VKA) at the time of enrollment had their dose adjusted to achive INR <2.0 at the time of randomisation. If this was not achieved the participant was discontinued from the study.
7671|NCT00684320|Overall Study||
7772|NCT00706355|Period 2: PF-04217903 100 mg||
7773|NCT00706355|Period 3: PF-04217903 200 mg||
7774|NCT00706355|Period 4: PF-04217903 150 mg||
7991|NCT00665353|Study Step 1|Subjects were enrolled at 8 ACTG sites.  The dates of first and last study enrollments were March 31, 2009 and May 26, 2010, respectively.|A5239 was a single-arm study which enrolled prior nonresponders to peginterferon (PEG-IFN) and ribavirin (RBV)
> therapy with documented insulin resistance. 31 potential subjects failed to meet all inclusion/exclusion criteria.  22 of these potential subjects did not meet the HOMA-IR criterion (> 2.5 within 42 days prior to study entry).
7992|NCT00665353|Study Step 2|Subjects were enrolled at 8 ACTG sites.  The dates of first and last study enrollments were March 31, 2009 and May 26, 2010, respectively.|A5239 was a single-arm study which enrolled prior nonresponders to peginterferon (PEG-IFN) and ribavirin (RBV)
> therapy with documented insulin resistance. 31 potential subjects failed to meet all inclusion/exclusion criteria.  22 of these potential subjects did not meet the HOMA-IR criterion (> 2.5 within 42 days prior to study entry).
7993|NCT00711347|Overall Study|Patients were scheduled for routine, primary, bilateral cataract extraction with subsequent insertion of an intraocular lens implant and demonstrating miotic/small pupils or intraoperative floppy iris syndrome. Additionally patients were free of ocular co-morbidities that may affect results.|During the preoperative exam, subjects were examined to ensure they met the inclusion/exclusion criteria.  Only subjects who signed an informed consent and qualified to be in the study by meeting all inclusion/exclusion criteria were enrolled.  Patients were randomized (Excel based schedule) based on enrollment order.
7994|NCT00711425|Overall Study||
7995|NCT00711490|Overall Study||
7996|NCT00711516|Overall Study||
7997|NCT00711529|Overall Study|Between September 2008 and September 2010, 73 women were screened for this study. Fourteen women were deemed ineligible and 32 decided not to participate. A total of 27 women were randomized to receive treatment, 14 to gabapentin and 13 to hypnotherapy.|
7998|NCT00711555|Overall Study||
7999|NCT00711594|Overall Study||
8000|NCT00711646|Overall Study||
